tile,polygon,old_category,new_label,d2um
T0433,341,Type 2 olivine (Moderate),olivine + hcp (high),0.021341936435368
T0432,48,alteration + olivine (Low),alteration + olivine (Low),0.0212793716334181
T0818,5,olivine (High),olivine + hcp (moderate),0.0212793045060558
T0435,458,Type 1 olivine (Moderate),olivine + hcp (Moderate),0.0211010903085701
T0685,8,olivine (High),olivine + hcp (High),0.0210853092089152
T0364,187,Type 1 olivine (High),olivine + hcp (High),0.02092605785026
T0436,73,Type 1 olivine (High),olivine + hcp (High),0.0208997147427749
T0433,109,Type 1 olivine (High),olivine + hcp (High),0.0208750341853833
T0435,105,Type 2 olivine (High),olivine + hcp (High),0.0208670254518608
T0504,56,Type 2 olivine (Low),olivine + hcp (Low),0.0208435617168161
T0433,203,alteration + olivine (Low),olivine + hcp + alteration (moderate),0.0208109253253773
T0433,99,Type 1 olivine (High),olivine + hcp (High),0.0207804875446631
T0822,0,olivine (High),olivine + hcp (High),0.0207378400310881
T0818,7,olivine (High),olivine + hcp (High),0.0206990718712134
T0435,10,Type 1 olivine (Moderate),olivine + hcp (low),0.0206793958394836
T0507,46,Type 2 olivine (High),olivine + hcp (moderate),0.0205942664276791
T0290,57,Type 2 olivine (Moderate),olivine + hcp (Moderate),0.0205495820598068
T0504,102,Type 1 olivine (High),olivine + hcp (High),0.020539400194053
T0503,7,Type 2 olivine (High),olivine + hcp (low),0.0203667407022392
T0435,433,alteration + olivine (Low),olivine + hcp (Low),0.0203264909908066
T0434,190,Type 1 olivine (Moderate),olivine + hcp (low),0.0202931444391933
T0504,122,Type 1 olivine (High),olivine + hcp (low),0.0202081108285567
T0364,191,Type 2 olivine (High),olivine + hcp (moderate),0.0201733253683525
T0435,135,Type 2 olivine (Moderate),olivine + hcp (Moderate),0.0201239841452142
T0433,419,Type 1 olivine (High),olivine + hcp (moderate),0.0200643759003443
T0433,129,alteration + olivine (Low),alteration + olivine (Low),0.0200423776459922
T0435,413,Type 1 olivine (Moderate),olivine + hcp (Moderate),0.0200033196862484
T0818,3,olivine (High),olivine (High),0.0200022916470771
T0433,201,Type 2 olivine (High),olivine + hcp (High),0.019903206937563
T0503,47,Type 2 olivine (High),olivine + hcp (moderate),0.0197400717484641
T0434,42,Type 1 olivine (High),olivine + hcp (High),0.0197293536688847
T0435,195,Type 1 olivine (High),olivine + hcp (High),0.0197071795399162
T0579,71,Type 2 olivine (High),olivine + hcp (High),0.0196559164379613
T0433,94,Type 1 olivine (High),olivine + hcp (High),0.0196498686282762
T0434,176,Type 1 olivine (High),olivine + hcp (High),0.0194360482393676
T0363,2,alteration + olivine (Low),olivine + hcp + alteration (Low),0.0194294372358607
T0431,1,Type 2 olivine (High),olivine + hcp (High),0.0194006174746169
T0505,42,Type 1 olivine (High),olivine + hcp (High),0.0193788547949677
T0359,8,Type 1 olivine (High),olivine + hcp (low),0.0193524293510625
T0432,45,alteration + olivine (Low),olivine + hcp + alteration (moderate),0.0192991337788622
T0507,32,Type 2 olivine (High),olivine + hcp (High),0.0192792041698223
T0432,43,alteration + olivine (Low),alteration + olivine (Low),0.01919820335703
T0818,2,olivine (High),olivine + hcp (moderate),0.0191741555298143
T0506,8,Type 2 olivine (High),olivine (moderate),0.0191191138578832
T0505,2,Type 2 olivine (High),olivine + hcp (moderate),0.0190905724889876
T0433,165,Type 2 olivine (High),olivine + hcp (moderate),0.019082728452985
T0508,32,Type 1 olivine (Low),Type 1 olivine (Low),0.0190295549805492
T0435,351,Type 1 olivine (High),olivine + hcp (High),0.0189968099374844
T0503,14,Type 2 olivine (High),Type 2 olivine (low),0.0189508813514198
T0363,66,Type 2 olivine (High),olivine + hcp (High),0.0189324385491513
T0363,70,Type 2 olivine (High),olivine + hcp (High),0.0188932984461352
T0433,211,Type 2 olivine (High),olivine + hcp (High),0.0188481921490264
T0503,0,Type 1 olivine (High),olivine + hcp (moderate),0.0188297550678284
T0433,401,olivine + spinel (Moderate),olivine + hcp (high),0.0187918942657777
T0434,18,Type 2 olivine (High),olivine + hcp (High),0.0187642540507778
T0433,116,Type 1 olivine (High),olivine + hcp (High),0.0187152060141965
T0435,113,Type 1 olivine (High),olivine + hcp (low),0.0186729664829262
T0434,142,Type 1 olivine (High),olivine + hcp (low),0.0185295559370421
T0435,20,Type 1 olivine (High),olivine + hcp (High),0.0185033067245484
T0503,35,Type 2 olivine (High),olivine + hcp (low),0.0184921829886016
T0363,89,Type 1 olivine (High),olivine + hcp (moderate),0.0184775170613489
T0432,19,Type 1 olivine (High),olivine + hcp (High),0.018408119608096
T0433,217,Type 2 olivine (High),olivine + hcp (High),0.0183074099173826
T0435,431,Type 1 olivine (High),olivine + hcp (High),0.0182565021031199
T0434,178,Type 1 olivine (High),olivine + hcp (High),0.0182413712236342
T0504,86,Type 2 olivine (High),olivine + hcp (moderate),0.0182338580782176
T0503,49,Type 2 olivine (High),olivine + hcp (low),0.0182178141977966
T0434,198,Type 2 olivine (High),olivine + hcp (high),0.0180871221848554
T0433,263,Type 1 olivine (High),olivine + hcp (low),0.018086690558638
T0505,44,Type 2 olivine (High),olivine + hcp (moderate),0.0180345796265398
T0432,46,alteration + olivine (Low),olivine + hcp + alteration (moderate),0.017996728316513
T0435,85,Type 1 olivine (High),olivine + hcp (high),0.0179950085941262
T0434,44,Type 1 olivine (High),Type 1 olivine (High),0.017990104038711
T0364,127,Type 1 olivine (High),olivine + hcp (High),0.01790429099345
T0504,4,Type 2 olivine (High),olivine + hcp (moderate),0.017892025841879433
