ts,source_gpkg,layer,polygon_uid,tile_id,predicted_class,decision,corrected_class,n_pixels,area_m2,co_occurring_classes
2026-06-07T20:32:35.255478+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1436,t1250,olivine,skip,,44244,1433120054.0,
2026-06-07T20:40:47.771244+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1323::thresh_0.97::2982,t1323,olivine,reject,ambiguous,30729,1013860780.0,
2026-06-07T20:41:35.873610+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1523,t1250,olivine,confirm,,26417,860636386.6,
2026-06-07T20:42:04.613592+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1450,t1250,olivine,confirm,,22677,734971712.8,
2026-06-07T20:42:25.170658+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1681,t1250,olivine,skip,,21688,718708109.4,
2026-06-07T20:42:38.674198+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1443,t1250,olivine,skip,,20101,652866952.5,
2026-06-07T20:43:07.224811+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1504,t1250,olivine,skip,,19061,622110027.9,
2026-06-07T20:49:26.856917+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2848,t1322,olivine,skip,,34156,1140294228.0,
2026-06-07T20:57:06.825737+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1104::thresh_0.97::295,t1104,olivine,confirm,,13966,460699570.3,
2026-06-07T20:57:36.972583+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1251::thresh_0.97::1780,t1251,olivine,skip,,12890,417435833.0,
2026-06-07T20:57:54.136770+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2830,t1322,olivine,confirm,,12497,415793138.6,
2026-06-07T20:59:10.461036+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2844,t1322,olivine,confirm,,11457,382784391.7,
2026-06-07T21:00:20.680833+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1323::thresh_0.97::3057,t1323,olivine,skip,,11353,378793093.6,
2026-06-07T21:00:26.930126+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1511,t1250,olivine,skip,,10662,348905880.7,
2026-06-07T21:01:00.859454+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1393::thresh_0.97::4192,t1393,olivine,reject,bland,9683,320427159.3,
2026-06-07T21:01:08.720808+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1669,t1250,olivine,skip,,8272,274348184.8,
2026-06-07T21:01:23.728295+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1393::thresh_0.97::4078,t1393,olivine,reject,bland,8332,274168388.4,
2026-06-07T21:01:30.309321+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1178::thresh_0.97::724,t1178,olivine,skip,,8435,273885116.7,
2026-06-07T21:01:36.749002+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1177::thresh_0.97::656,t1177,olivine,skip,,7794,254092183.7,
2026-06-07T21:01:51.287591+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1394::thresh_0.97::4772,t1394,olivine,reject,bland,7084,237776675.2,
2026-06-07T21:01:59.161550+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1323::thresh_0.97::3058,t1323,olivine,skip,,7051,235444316.5,
2026-06-07T21:02:03.034571+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1478,t1250,olivine,skip,,7181,233718257.7,
2026-06-07T21:02:06.939879+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1684,t1250,olivine,skip,,6314,209851448.4,
2026-06-07T21:02:10.739443+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1742,t1250,olivine,skip,,6284,209435348.1,
2026-06-07T21:02:31.166825+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1388::thresh_0.97::3152,t1388,olivine,reject,bland,6327,208803686.4,
2026-06-07T21:02:37.208444+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1247::thresh_0.97::1213,t1247,olivine,skip,,6254,206600679.1,
2026-06-07T21:02:42.895680+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1035::thresh_0.97::47,t1035,olivine,skip,,6235,205119210.2,
2026-06-07T21:03:00.707052+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1394::thresh_0.97::4737,t1394,olivine,reject,bland,5938,198727211.5,
2026-06-07T21:03:14.429647+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2843,t1322,olivine,skip,,5709,190655665.2,
2026-06-07T21:03:20.110837+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1250::thresh_0.97::1506,t1250,olivine,skip,,5708,188090379.3,
2026-06-07T21:03:24.872719+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1176::thresh_0.97::607,t1176,olivine,skip,,5671,187270814.8,
2026-06-07T21:03:33.419799+00:00,vector_mc13_relabeled/olivine.gpkg,thresh_0.97,t1322::thresh_0.97::2847,t1322,olivine,confirm,,5589,187017790.2,
2026-06-07T21:04:22.265919+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1209,t1032,lcp,skip,,134197,4416488725.0,
2026-06-07T21:05:13.519422+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4377,t1106,lcp,skip,,106403,3494562237.0,
2026-06-07T21:10:17.652643+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1249::thresh_0.97::6185,t1249,lcp,skip,,67209,2192304404.0,
2026-06-07T21:11:44.491310+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1104::thresh_0.97::3118,t1104,lcp,skip,,61704,2026938423.0,
2026-06-07T21:12:09.248924+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4324,t1106,lcp,confirm,,59128,1946101080.0,
2026-06-07T21:12:44.055956+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4324,t1106,lcp,skip,,59128,1946101080.0,
2026-06-07T21:12:55.620554+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1203,t1032,lcp,skip,,46523,1537510068.0,
2026-06-07T21:13:10.765753+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1207,t1032,lcp,skip,,29290,964377647.5,
2026-06-07T21:13:15.944669+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1200,t1032,lcp,skip,,28079,924896053.0,
2026-06-07T21:13:22.543299+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1198,t1032,lcp,skip,,27573,908569593.6,
2026-06-07T21:13:37.386835+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4299,t1106,lcp,skip,,27428,905274642.7,
2026-06-07T21:13:58.584405+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1105::thresh_0.97::3309,t1105,lcp,skip,,25308,826311506.4,
2026-06-07T21:14:06.962892+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1176::thresh_0.97::4688,t1176,lcp,skip,,24896,811768922.3,
2026-06-07T21:14:25.305939+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1249::thresh_0.97::6015,t1249,lcp,confirm,,23601,764978981.6,
2026-06-07T21:14:45.087040+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1192,t1032,lcp,confirm,,23023,758183358.4,
2026-06-07T21:15:04.155613+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1249::thresh_0.97::6175,t1249,lcp,confirm,,22943,751371390.2,
2026-06-07T21:15:37.164835+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1104::thresh_0.97::3183,t1104,lcp,skip,,21340,705386067.2,
2026-06-07T21:15:46.237199+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::1021,t1032,lcp,skip,,21053,692025373.2,
2026-06-07T21:16:08.305408+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1176::thresh_0.97::4950,t1176,lcp,reject,bland,20271,671052756.7,
2026-06-07T21:16:26.313891+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1035::thresh_0.97::2128,t1035,lcp,skip,,19945,654322754.6,
2026-06-07T21:17:07.174152+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1105::thresh_0.97::3555,t1105,lcp,skip,,18601,611755010.5,
2026-06-07T21:18:13.565375+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1104::thresh_0.97::3127,t1104,lcp,skip,,16320,538181736.8,
2026-06-07T21:18:22.205390+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1248::thresh_0.97::5669,t1248,lcp,skip,,15544,513383188.8,
2026-06-07T21:19:11.193618+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4156,t1106,lcp,skip,,14745,484482801.0,
2026-06-07T21:19:26.334809+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1106::thresh_0.97::4157,t1106,lcp,skip,,14048,462321069.2,
2026-06-07T21:19:33.142058+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1105::thresh_0.97::3539,t1105,lcp,skip,,13254,436971803.4,
2026-06-07T21:20:03.502570+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1034::thresh_0.97::1843,t1034,lcp,skip,,12938,423423710.9,
2026-06-07T21:20:16.920119+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1104::thresh_0.97::3038,t1104,lcp,confirm,,12207,401215556.6,
2026-06-07T21:20:28.846465+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1249::thresh_0.97::6119,t1249,lcp,skip,,11289,368472190.4,
2026-06-07T21:20:54.623812+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1248::thresh_0.97::5661,t1248,lcp,skip,,10399,343762540.2,
2026-06-07T21:21:00.022628+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1032::thresh_0.97::694,t1032,lcp,skip,,10346,339247222.3,
2026-06-07T21:21:05.904751+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1321::thresh_0.97::6911,t1321,lcp,skip,,10075,336372514.8,
2026-06-07T21:21:15.695121+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1034::thresh_0.97::1912,t1034,lcp,skip,,10064,330468907.2,
2026-06-07T21:21:29.171886+00:00,vector_mc13_relabeled/lcp.gpkg,thresh_0.97,t1321::thresh_0.97::6914,t1321,lcp,confirm,,9298,310088489.3,
2026-06-07T21:23:49.306966+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.97,t1250::thresh_0.97::0,t1250,plagioclase,reject,ambiguous,12,387678.6691,
2026-06-07T21:23:53.264016+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.97,t1250::thresh_0.97::1,t1250,plagioclase,reject,ambiguous,12,387678.6691,
2026-06-07T21:23:57.519124+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.96,t1250::thresh_0.96::2,t1250,plagioclase,reject,ambiguous,30,967360.3865,
2026-06-07T21:23:59.728641+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.96,t1250::thresh_0.96::1,t1250,plagioclase,reject,ambiguous,16,516904.8943,
2026-06-07T21:24:01.785474+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.96,t1250::thresh_0.96::0,t1250,plagioclase,reject,ambiguous,12,387678.6691,
2026-06-07T21:24:06.399018+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::3,t1250,plagioclase,reject,ambiguous,283,9133192.728,
2026-06-07T21:24:08.964633+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::5,t1250,plagioclase,reject,ambiguous,207,6803935.17,
2026-06-07T21:24:10.990111+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::0,t1250,plagioclase,reject,ambiguous,40,1292262.301,
2026-06-07T21:24:13.370630+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::4,t1250,plagioclase,reject,ambiguous,38,1245210.388,
2026-06-07T21:25:11.430288+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::6,t1322,plagioclase,reject,olivine,28,954542.7506,
2026-06-07T21:25:18.699005+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::1,t1250,plagioclase,reject,ambiguous,27,872423.6533,
2026-06-07T21:25:21.124924+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::2,t1250,plagioclase,reject,ambiguous,10,323197.4949,
2026-06-07T21:25:23.912196+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::0,t1250,plagioclase,reject,ambiguous,959,31018166.98,
2026-06-07T21:25:26.714068+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::4,t1250,plagioclase,reject,ambiguous,463,15165427.99,
2026-06-07T21:25:28.713919+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::5,t1250,plagioclase,reject,ambiguous,38,1229871.233,
2026-06-07T21:25:40.226221+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1322::thresh_0.92::6,t1322,plagioclase,reject,olivine,34,1155502.981,
2026-06-07T21:25:55.933360+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::3,t1250,plagioclase,reject,ambiguous,26,810211.4395,
2026-06-07T21:25:58.066991+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::2,t1250,plagioclase,reject,ambiguous,13,453457.4683,
2026-06-07T21:26:01.351393+00:00,vector_mc13_relabeled/plagioclase.gpkg,thresh_0.92,t1250::thresh_0.92::1,t1250,plagioclase,reject,ambiguous,10,323517.1137,
2026-06-07T21:26:25.047559+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::91,t1393,hcp,reject,bland,46,1535495.925,
2026-06-07T21:26:30.713409+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::104,t1393,hcp,reject,bland,39,1277967.266,
2026-06-07T21:26:34.201814+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1174::thresh_0.97::21,t1174,hcp,reject,bland,39,1235036.839,
2026-06-07T21:26:41.227553+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1320::thresh_0.97::81,t1320,hcp,reject,ambiguous,32,1131921.602,
2026-06-07T21:26:46.830692+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::96,t1393,hcp,skip,,32,1057130.834,
2026-06-07T21:26:48.559550+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1250::thresh_0.97::69,t1250,hcp,skip,,30,993321.0129,
2026-06-07T21:26:59.355658+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1030::thresh_0.97::1,t1030,hcp,reject,bland,29,887562.0614,
2026-06-07T21:27:03.036158+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1250::thresh_0.97::72,t1250,hcp,skip,,27,879016.7847,
2026-06-07T21:27:05.469834+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1390::thresh_0.97::87,t1390,hcp,reject,bland,26,810420.6241,
2026-06-07T21:27:08.390895+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1394::thresh_0.97::114,t1394,hcp,skip,,24,803534.1056,
2026-06-07T21:27:11.722129+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1250::thresh_0.97::74,t1250,hcp,skip,,24,800349.8327,
2026-06-07T21:27:18.007008+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1175::thresh_0.97::28,t1175,hcp,reject,bland,23,772474.8692,
2026-06-07T21:27:21.159438+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1177::thresh_0.97::31,t1177,hcp,skip,,24,763533.6181,
2026-06-07T21:27:24.516992+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1102::thresh_0.97::15,t1102,hcp,reject,bland,23,752925.915,
2026-06-07T21:27:28.115785+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1173::thresh_0.97::18,t1173,hcp,reject,bland,21,729506.631,
2026-06-07T21:27:41.253333+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1250::thresh_0.97::65,t1250,hcp,skip,,22,711384.932,
2026-06-07T21:27:42.717033+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1177::thresh_0.97::32,t1177,hcp,skip,,21,698753.8984,
2026-06-07T21:28:02.490529+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1393::thresh_0.97::108,t1393,hcp,reject,bland,21,683034.6803,
2026-06-07T21:28:11.007118+00:00,vector_mc13_relabeled/hcp.gpkg,thresh_0.97,t1175::thresh_0.97::27,t1175,hcp,reject,bland,20,653252.6938,
2026-06-07T21:29:07.535433+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1104::thresh_0.97::1305,t1104,hcp,confirm,,45191,1489442145.0,
2026-06-07T21:29:27.196915+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1104::thresh_0.97::1275,t1104,hcp,confirm,,44385,1460673608.0,
2026-06-07T21:29:43.908594+00:00,vector_mc13_v3_denoising/hcp.gpkg,thresh_0.97,t1104::thresh_0.97::1307,t1104,hcp,confirm,,32696,1078802961.0,
2026-06-07T21:30:09.924795+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1322::thresh_0.96::10,t1322,plagioclase,reject,olivine,169,5653390.884,
2026-06-07T21:30:12.777070+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::2,t1035,plagioclase,reject,olivine,45,1497059.606,
2026-06-07T21:30:15.114994+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::5,t1035,plagioclase,reject,olivine,43,1382349.513,
2026-06-07T21:30:17.260692+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::4,t1035,plagioclase,reject,olivine,37,1201288.144,
2026-06-07T21:30:19.347202+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::0,t1035,plagioclase,reject,olivine,22,740302.3027,
2026-06-07T21:30:21.472741+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1250::thresh_0.96::6,t1250,plagioclase,reject,olivine,23,732632.4828,
2026-06-07T21:30:23.614496+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1322::thresh_0.96::7,t1322,plagioclase,reject,olivine,21,632930.8616,
2026-06-07T21:30:25.619844+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1322::thresh_0.96::9,t1322,plagioclase,reject,olivine,15,551660.5406,
2026-06-07T21:30:27.835670+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1322::thresh_0.96::8,t1322,plagioclase,reject,olivine,14,483483.6091,
2026-06-07T21:30:30.961886+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::3,t1035,plagioclase,reject,olivine,9,296202.5947,
2026-06-07T21:30:33.072192+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.96,t1035::thresh_0.96::1,t1035,plagioclase,reject,olivine,9,296123.0792,
2026-06-07T21:30:36.321036+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1035::thresh_0.94::13,t1035,plagioclase,reject,olivine,1654,54454766.85,
2026-06-07T21:30:40.725847+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::120,t1322,plagioclase,reject,olivine,1590,53226481.84,
2026-06-07T21:30:43.963815+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::53,t1250,plagioclase,reject,olivine,1534,49677244.2,
2026-06-07T21:30:48.139738+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::20,t1250,plagioclase,skip,,1411,45671443.17,
2026-06-07T21:30:53.128771+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::22,t1250,plagioclase,reject,ambiguous,914,29498287.11,
2026-06-07T21:30:59.738588+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::114,t1322,plagioclase,reject,olivine,858,28731723.02,
2026-06-07T21:31:02.372192+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::60,t1250,plagioclase,reject,olivine,782,25402637.21,
2026-06-07T21:31:05.213899+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::86,t1322,plagioclase,reject,olivine,668,22104559.86,
2026-06-07T21:31:07.640166+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::23,t1250,plagioclase,reject,olivine,490,15841020.89,
2026-06-07T21:31:10.213292+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::63,t1250,plagioclase,reject,olivine,486,15780769.86,
2026-06-07T21:31:15.479319+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1035::thresh_0.94::4,t1035,plagioclase,skip,,447,14871960.19,
2026-06-07T21:31:17.325760+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::89,t1322,plagioclase,reject,olivine,396,13256728.84,
2026-06-07T21:31:19.816361+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::59,t1250,plagioclase,reject,olivine,374,12113189.21,
2026-06-07T21:31:22.149412+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::27,t1250,plagioclase,reject,olivine,351,11419526.18,
2026-06-07T21:31:24.721898+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::69,t1250,plagioclase,reject,olivine,328,10680688.91,
2026-06-07T21:31:27.084318+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1250::thresh_0.94::56,t1250,plagioclase,reject,olivine,261,8423136.535,
2026-06-07T21:31:29.371552+00:00,vector_mc13_v3_denoising/plagioclase.gpkg,thresh_0.94,t1322::thresh_0.94::92,t1322,plagioclase,reject,olivine,247,8361930.184,
