class,source,tile_id,polygon_id,n_px,confidence_weight,degenerate,own_angle_deg,nearest_other_class,nearest_other_angle_deg,margin_deg,suspect
bland,reassigned,t1030,896309542,288,1.0,False,9.979101859335406,alteration,3.586482835590937,-6.392619023744469,True
bland,reassigned,t1030,2645620482,393,1.0,False,10.065234722794099,alteration,3.6740174202879836,-6.391217302506115,True
bland,reassigned,t1251,3736044549,533,1.0,False,9.36159720101301,alteration,2.974565609908549,-6.387031591104462,True
bland,reassigned,t1316,4123051822,1084,1.0,False,10.786668684434272,alteration,4.40968436052854,-6.376984323905732,True
bland,hand,t1243,0,113000,1.0,False,10.227783767647121,alteration,3.869197678752488,-6.358586088894633,True
bland,hand,t1241,0,107755,1.0,False,10.013362193026776,alteration,3.677365904132656,-6.33599628889412,True
bland,hand,t1242,0,113000,1.0,False,10.132507121830791,alteration,3.8057890333595807,-6.32671808847121,True
bland,reassigned,t1173,3948553120,374,1.0,False,10.179211946080596,alteration,3.8573130630469525,-6.321898883033644,True
bland,hand,t1315,0,113000,1.0,False,10.086267998129083,alteration,3.7674647462193716,-6.318803251909712,True
bland,reassigned,t1029,1764188128,170,1.0,False,10.394570244692687,alteration,4.0787923556781545,-6.315777889014533,True
junk,tag,t1393,360054626,9,1.0,True,8.883304296776245,alteration,2.570276703654525,-6.313027593121721,True
bland,hand,t1314,0,113000,1.0,False,10.168444419276232,alteration,3.861176464744202,-6.30726795453203,True
bland,reassigned,t1028,423515327,52,1.0,False,10.479461702233436,alteration,4.177545713669322,-6.301915988564114,True
bland,reassigned,t1395,1344787195,387,0.5,False,9.92445182643082,alteration,3.6257327785923223,-6.298719047838498,True
bland,hand,t1313,0,96640,1.0,False,9.940415631845351,alteration,3.6546001293774637,-6.285815502467887,True
bland,reassigned,t1395,4100673478,177,1.0,False,9.891008470795933,alteration,3.611266576267938,-6.279741894527995,True
bland,reassigned,t1388,3812673900,1859,1.0,False,10.476207266542396,alteration,4.198137701425859,-6.278069565116537,True
bland,hand,t1336,0,113000,1.0,False,9.622721698602739,alteration,3.3523101794322456,-6.2704115191704926,True
bland,reassigned,t1378,803132053,13,1.0,False,9.755510077131387,alteration,3.4867092154616124,-6.268800861669774,True
bland,reassigned,t1251,2862847210,267,1.0,False,9.328384722428249,olivine,3.0604737813035774,-6.267910941124671,True
bland,reassigned,t1389,4025625122,82,1.0,False,9.950056924914083,olivine,3.690897704686996,-6.259159220227087,True
bland,reassigned,t1389,3095950106,31752,1.0,False,9.796755077478787,olivine,3.558997500396454,-6.237757577082333,True
bland,hand,t1280,0,107353,1.0,False,9.290820793602816,alteration,3.0536064861489596,-6.237214307453856,True
bland,reassigned,t1100,638916467,741,1.0,False,10.5551070290569,alteration,4.3270100980482455,-6.228096931008655,True
bland,reassigned,t1028,1027517789,116,1.0,False,10.1366781301899,alteration,3.9114361001125775,-6.225242030077322,True
bland,reassigned,t1316,443655571,284,1.0,False,10.531120157517025,olivine,4.319676743832178,-6.211443413684846,True
bland,reassigned,t1083,1228978173,283663,1.0,False,8.395598523678732,alteration,2.185699539811976,-6.209898983866756,True
bland,reassigned,t1323,3670224742,71,1.0,False,9.667145255077608,olivine,3.4738855450269184,-6.19325971005069,True
bland,reassigned,t1028,2506744414,212,1.0,False,10.137140134956518,alteration,3.945299086032588,-6.19184104892393,True
bland,reassigned,t1154,4077063328,282174,1.0,False,8.612792619437343,alteration,2.424635642832188,-6.188156976605155,True
bland,reassigned,t1028,2724471204,297,1.0,False,10.066255019399941,alteration,3.884288378783718,-6.181966640616223,True
bland,reassigned,t1316,3216383249,1615,1.0,False,10.254023729007654,alteration,4.075548737299744,-6.17847499170791,True
bland,reassigned,t1155,3253734192,283014,1.0,False,8.4451014467256,alteration,2.2687752673683614,-6.176326179357238,True
hcp,hand,t0360,20,135,1.0,False,35.72426246578907,junk,29.55364865297665,-6.170613812812416,True
bland,reassigned,t1100,1942545568,405,1.0,False,10.84974321514386,alteration,4.680788934473699,-6.168954280670161,True
olivine,hand,t0360,6,125,1.0,False,36.38948848689756,junk,30.22098163096059,-6.168506855936972,True
bland,reassigned,t1316,3431988831,58,1.0,False,10.198917438980354,olivine,4.055339313629996,-6.143578125350358,True
bland,reassigned,t1393,4147983811,32,1.0,False,9.557671922837097,olivine,3.4222709851017457,-6.135400937735351,True
bland,reassigned,t1100,2028014889,9154,1.0,False,10.369692418691852,alteration,4.2398232089626635,-6.129869209729188,True
bland,reassigned,t1028,2769586980,82,1.0,False,10.138479523054254,alteration,4.012387808336988,-6.126091714717266,True
lcp,confirmed,t1393,2691103657,245,0.5,False,20.215911042779613,junk,14.093151431023701,-6.122759611755912,True
bland,reassigned,t1156,2800618970,353869,1.0,False,8.341868366246157,alteration,2.2227424496964527,-6.119125916549704,True
bland,reassigned,t1252,1597383874,53,1.0,False,9.482996634552569,alteration,3.3719921685035548,-6.111004466049014,True
bland,reassigned,t1393,1769108583,21,1.0,False,8.862673177152807,alteration,2.7532296012929636,-6.109443575859844,True
bland,reassigned,t1101,1939191300,234,1.0,False,10.141758438330935,alteration,4.038037485423805,-6.10372095290713,True
bland,reassigned,t1390,2156410400,26,1.0,False,9.458612041264058,alteration,3.3589156324992606,-6.099696408764797,True
bland,reassigned,t1100,896449925,1045,1.0,False,10.573266471279158,alteration,4.476385120743627,-6.096881350535531,True
bland,reassigned,t1389,4091086599,44847,1.0,False,9.526266962767192,olivine,3.4459173503436733,-6.080349612423518,True
bland,reassigned,t1028,1257586822,76,1.0,False,10.284523539585988,alteration,4.213262933105669,-6.07126060648032,True
bland,reassigned,t1173,3240798438,21,1.0,False,10.36324959047963,alteration,4.292350170867614,-6.070899419612015,True
bland,reassigned,t1102,397023980,23,1.0,False,9.641375304410372,alteration,3.5747834268464094,-6.066591877563964,True
bland,reassigned,t1154,2559972069,252663,1.0,False,8.540205114198447,alteration,2.482572285112615,-6.057632829085831,True
hcp,hand,t0360,27,87,1.0,False,35.68670367709101,junk,29.635938414832452,-6.050765262258558,True
bland,reassigned,t1155,1260850019,275179,1.0,False,8.268775898054113,alteration,2.262244446610894,-6.006531451443219,True
bland,reassigned,t1082,1288303048,493029,1.0,False,8.340669212861402,alteration,2.336405145798456,-6.0042640670629455,True
hcp,hand,t0360,21,71,1.0,False,35.6754244391892,junk,29.677179479012477,-5.998244960176724,True
hcp,hand,t0360,11,241,1.0,False,35.67791546512674,junk,29.689168872136676,-5.988746592990061,True
hcp,hand,t0360,19,93,1.0,False,35.673908189788754,junk,29.691707616997988,-5.982200572790767,True
hcp,hand,t0360,18,184,1.0,False,35.68123586640337,junk,29.738016546090076,-5.943219320313293,True
bland,reassigned,t1084,262581577,349818,1.0,False,6.83473514313282,plagioclase,0.9273980960620082,-5.907337047070811,True
junk,tag,t1323,531518577,30729,1.0,False,7.24138316479977,lcp,1.3465167099411093,-5.894866454858661,True
junk,tag,t1393,4110032039,140,1.0,False,8.726053508424103,alteration,2.8418837876857177,-5.884169720738385,True
bland,reassigned,t1174,1740494368,39,1.0,False,9.2889512032382,olivine,3.4114209362921395,-5.877530266946061,True
bland,reassigned,t1082,1721971000,263435,1.0,False,8.352898974989186,plagioclase,2.516945684509375,-5.835953290479811,True
bland,reassigned,t1082,4173133310,258317,1.0,False,8.112297026772515,plagioclase,2.28258918003151,-5.829707846741005,True
bland,reassigned,t1090,3512863122,22,1.0,False,7.71399853153915,olivine,1.8905589180681106,-5.823439613471039,True
olivine,hand,t0433,251,173,1.0,False,8.51589518035574,bland,2.7189086330367145,-5.796986547319025,True
bland,reassigned,t1085,89956553,327474,1.0,False,7.4104840706620045,plagioclase,1.6532550842428764,-5.757228986419128,True
lcp,confirmed,t1160,159719,1926,0.5,False,15.387135289425567,junk,9.64211000980491,-5.745025279620657,True
bland,reassigned,t1388,3265613377,6327,1.0,False,8.838285371777461,olivine,3.097864352080201,-5.74042101969726,True
bland,reassigned,t1393,4132692337,9683,1.0,False,6.8691409845975695,plagioclase,1.1395797590146854,-5.729561225582884,True
plagioclase,hand,t0360,15,69,1.0,False,35.5544136972138,junk,29.84999722941619,-5.704416467797614,True
bland,reassigned,t1158,434861714,369936,1.0,False,7.601913132593171,plagioclase,1.9842468647139107,-5.61766626787926,True
bland,reassigned,t1083,843187490,614086,1.0,False,7.18172494161086,plagioclase,1.584283816444629,-5.597441125166231,True
hcp,hand,t0360,17,26,1.0,False,35.685766220476076,junk,30.13722938709349,-5.548536833382585,True
alteration,tag,t1176,3340285396,7,1.0,True,9.51031156989615,junk,3.965760690062022,-5.544550879834127,True
bland,reassigned,t1394,683819328,5938,1.0,False,6.44809133135262,hcp,0.9057195049471237,-5.542371826405496,True
bland,reassigned,t1393,4025709849,86,1.0,False,7.894366031307726,plagioclase,2.3675607856851917,-5.526805245622534,True
lcp,confirmed,t1320,3426826496,23,0.5,False,31.025505948334697,junk,25.509450323020292,-5.516055625314404,True
plagioclase,hand,t0360,3,4,1.0,True,35.58278761262544,junk,30.078939915725282,-5.503847696900156,True
plagioclase,hand,t0360,1,119,1.0,False,35.58125556933181,junk,30.07841142051386,-5.50284414881795,True
lcp,confirmed,t1393,2516920944,40,0.5,False,11.545410612858063,junk,6.049857486333587,-5.495553126524476,True
olivine,reassigned,t1444,1238740943,481,0.5,False,23.78942566958184,junk,18.322713603071794,-5.466712066510045,True
bland,reassigned,t1175,3277031406,20,1.0,False,7.927802663974329,plagioclase,2.4830251873446954,-5.444777476629634,True
plagioclase,hand,t0360,5,16,1.0,False,35.59518615153046,junk,30.157011345821775,-5.438174805708687,True
lcp,confirmed,t1320,1813602216,12,0.5,False,21.410856080305475,junk,15.990996094688585,-5.41985998561689,True
lcp,confirmed,t1320,1699909656,31,0.5,False,24.81186646894847,junk,19.492744857953895,-5.319121610994575,True
lcp,confirmed,t1104,235755276,214,0.5,False,14.0514779043351,junk,8.74514146486954,-5.306336439465559,True
olivine,reassigned,t1322,3105947882,16,0.75,False,9.979172387231412,junk,4.673518746245107,-5.305653640986304,True
alteration,tag,t1176,658016785,203,1.0,False,9.919580840390662,junk,4.614072512473525,-5.305508327917137,True
bland,reassigned,t1393,1630724591,39,1.0,False,7.373598667416588,plagioclase,2.073475054624822,-5.300123612791766,True
lcp,confirmed,t1104,1465987435,1021,0.5,False,12.922997001503191,junk,7.6286420268960935,-5.2943549746070975,True
junk,tag,t1250,2165709440,234,1.0,False,9.738656352378966,hcp,4.526017821805673,-5.212638530573293,True
lcp,confirmed,t1320,912288934,74,0.5,False,29.62140365463942,junk,24.41863820960713,-5.202765445032288,True
alteration,tag,t1176,791471238,689,0.75,False,9.20632200881366,junk,4.0579837490860315,-5.148338259727628,True
alteration,tag,t1176,1496931331,456,1.0,False,9.226613480076153,junk,4.1786663207960135,-5.04794715928014,True
lcp,confirmed,t1320,2949619222,957,0.5,False,23.211288248041583,junk,18.16598640645258,-5.045301841589005,True
lcp,confirmed,t1320,322351881,49,0.5,False,28.36452858715355,junk,23.322352119217157,-5.042176467936393,True
lcp,confirmed,t1176,595381368,88,0.5,False,10.88875863115954,junk,5.855401378694482,-5.033357252465058,True
lcp,confirmed,t1320,725862256,29,0.5,False,32.47605299115693,junk,27.44796707127795,-5.028085919878976,True
junk,tag,t1320,744564197,32,1.0,False,9.942014786002206,hcp,4.929738175919124,-5.012276610083082,True
lcp,confirmed,t1320,1343107876,22,0.5,False,33.4979789811817,junk,28.492790929030193,-5.00518805215151,True
lcp,confirmed,t1320,3678132926,1964,0.5,False,36.57519960583459,junk,31.633161193846224,-4.942038411988367,True
junk,tag,t1250,3845815716,10,1.0,False,9.016774353064323,hcp,4.117427745726172,-4.899346607338151,True
lcp,hand,t0360,28,1715,1.0,False,34.4689812809204,junk,29.629422068345967,-4.839559212574436,True
lcp,hand,t0360,23,216,1.0,False,34.44864277613384,junk,29.640539880846333,-4.8081028952875045,True
junk,tag,t1250,1510984555,562,1.0,False,10.49284642564887,olivine,5.708051153230519,-4.78479527241835,True
junk,tag,t1250,4164763045,10,1.0,False,10.396412355229629,olivine,5.631324215736818,-4.765088139492811,True
lcp,confirmed,t1250,1548999180,106,0.5,False,9.160758903974324,junk,4.402387213817674,-4.75837169015665,True
lcp,confirmed,t1321,171628482,19,0.5,False,10.019051274906166,junk,5.262301597156087,-4.756749677750079,True
lcp,confirmed,t1320,223613058,9,0.5,True,35.37780677150844,junk,30.631991775039754,-4.745814996468685,True
junk,tag,t1250,3814151194,38,1.0,False,10.438933959808704,olivine,5.717043543981903,-4.721890415826801,True
lcp,confirmed,t1104,3329243160,44,0.75,False,9.869656527526203,junk,5.148250687991539,-4.721405839534664,True
bland,reassigned,t1175,3076265717,23,1.0,False,6.533254716064572,plagioclase,1.8188998225448674,-4.714354893519705,True
lcp,confirmed,t1320,106923577,134,0.5,False,31.44813997379572,junk,26.755485764498104,-4.692654209297615,True
lcp,confirmed,t1160,766718375,136,0.5,False,7.913840733907254,junk,3.260334883451637,-4.653505850455616,True
alteration,tag,t1176,4181987598,46,1.0,False,9.63816786841789,junk,4.989668437536353,-4.648499430881537,True
lcp,confirmed,t1320,79417754,35,0.5,False,28.622763592641082,junk,23.98648868360704,-4.636274909034043,True
junk,tag,t1250,1863757232,283,1.0,False,10.632444671720073,olivine,6.0025116001241665,-4.629933071595906,True
alteration,tag,t1176,2936625158,10,1.0,False,9.296627919781184,junk,4.7306155100246094,-4.566012409756574,True
alteration,tag,t1176,1161015307,23,1.0,False,9.184098449311056,junk,4.657178658687216,-4.5269197906238405,True
lcp,confirmed,t1160,2506147251,5071,0.5,False,9.090261518894325,junk,4.574155381847064,-4.51610613704726,True
lcp,confirmed,t1176,2501293524,29,0.75,False,9.691618385872468,junk,5.187358438942849,-4.504259946929619,True
junk,tag,t1250,839091260,26,1.0,False,9.33385995752863,hcp,4.835217310499024,-4.498642647029605,True
alteration,tag,t1176,3948747731,37,1.0,False,9.378534402164396,junk,4.904887424265655,-4.473646977898741,True
lcp,confirmed,t1250,256884250,12,0.5,False,8.963902450138578,junk,4.506922207005941,-4.456980243132637,True
lcp,confirmed,t1176,3295516388,50,0.75,False,9.216241923433406,junk,4.763977852633343,-4.452264070800063,True
junk,tag,t1250,2285960402,27,1.0,False,9.964814689068971,hcp,5.514040953051086,-4.450773736017886,True
alteration,tag,t1176,2963716913,13,1.0,False,8.899826626749821,junk,4.514332314432227,-4.385494312317594,True
bland,reassigned,t1393,181125947,8332,1.0,False,5.840317752749236,plagioclase,1.4616631126938289,-4.378654640055407,True
junk,tag,t1250,2120028469,158,1.0,False,9.629512281314277,hcp,5.259486307690577,-4.3700259736237,True
alteration,tag,t1176,946110081,10,1.0,False,9.172368709133304,junk,4.810033310406267,-4.362335398727037,True
alteration,tag,t1176,1124565326,17,1.0,False,8.75765138858973,junk,4.400627947432426,-4.357023441157304,True
lcp,confirmed,t1104,3155304488,12207,1.0,False,10.134910931473001,junk,5.820621712522158,-4.314289218950844,True
lcp,confirmed,t1250,1269811180,68,1.0,False,10.731022025365277,junk,6.427183026333054,-4.303838999032223,True
lcp,confirmed,t1250,538039160,12,1.0,False,9.46742898166602,junk,5.164605415403432,-4.302823566262587,True
lcp,confirmed,t1321,1957188271,565,0.5,False,10.878070387120408,junk,6.643402805585387,-4.234667581535021,True
hcp,confirmed,t1176,483425048,54649,1.0,False,8.524504270407897,junk,4.324589552171283,-4.199914718236614,True
alteration,tag,t1176,3855789128,162,1.0,False,8.861235432714405,junk,4.6633557026535755,-4.19787973006083,True
olivine,reassigned,t1322,982783366,10,0.5,False,8.384647583929352,junk,4.224701033803012,-4.15994655012634,True
olivine,reassigned,t1033,1521771587,134,0.75,False,7.802571325263181,bland,3.717631294856029,-4.084940030407152,True
lcp,confirmed,t1321,577730545,23,0.75,False,12.179223695589,junk,8.15646991092253,-4.02275378466647,True
olivine,reassigned,t1322,629274650,230,0.75,False,10.51697847463745,junk,6.511098115660409,-4.00588035897704,True
olivine,confirmed,t1374,94670931,156,1.0,False,6.816177189766614,bland,2.8444951361713113,-3.9716820535953024,True
lcp,confirmed,t1250,196112625,215,0.5,False,7.734876968007031,junk,3.7927580519132222,-3.9421189160938086,True
olivine,hand,t0504,56,25,1.0,False,6.609664788335642,bland,2.674077753271055,-3.9355870350645867,True
lcp,confirmed,t1250,1994871242,29,0.5,False,8.307620075206557,junk,4.380546498707908,-3.9270735764986497,True
olivine,reassigned,t1322,1900560375,103,1.0,False,9.560927444917386,junk,5.641307853071587,-3.919619591845799,True
lcp,confirmed,t1250,109366784,35,0.5,False,8.041143672256709,junk,4.138832713894828,-3.9023109583618805,True
lcp,confirmed,t1250,944045279,31,0.75,False,8.427782690985211,junk,4.597486571106163,-3.8302961198790477,True
lcp,confirmed,t1250,1725339156,245,1.0,False,7.904337934753587,junk,4.094263564758673,-3.810074369994914,True
lcp,confirmed,t1250,3191726778,16,0.5,False,8.286785761549035,junk,4.491548171901533,-3.7952375896475026,True
junk,tag,t1250,791789069,13,1.0,False,8.085017147932199,hcp,4.313286828013657,-3.7717303199185412,True
junk,tag,t1393,1344352689,21,1.0,False,8.368292281845386,lcp,4.607736696688183,-3.7605555851572037,True
lcp,confirmed,t1249,658317811,9,0.75,True,7.926625880522144,junk,4.183561827961129,-3.7430640525610146,True
lcp,confirmed,t1250,1195088215,124,1.0,False,8.351216949947982,junk,4.64562055623581,-3.705596393712172,True
lcp,confirmed,t1321,809773024,20,0.5,False,8.30363270278822,junk,4.598426171277611,-3.70520653151061,True
lcp,confirmed,t1250,949502932,206,0.5,False,7.783943854468573,junk,4.105341188835065,-3.678602665633508,True
olivine,reassigned,t1322,2728199432,7,0.5,True,8.903064652888334,junk,5.265914232931712,-3.6371504199566225,True
bland,reassigned,t1232,4046105695,415115,1.0,False,4.934431092342417,lcp,1.3079562130701279,-3.6264748792722896,True
lcp,confirmed,t1250,2102908896,26,0.5,False,8.087487160290745,junk,4.484476662164113,-3.6030104981266327,True
lcp,confirmed,t1249,262563941,972,0.75,False,7.33584138365149,junk,3.7518282559743747,-3.5840131276771157,True
lcp,confirmed,t1250,3662477867,69,0.75,False,7.305646291238131,junk,3.725943201130181,-3.57970309010795,True
lcp,confirmed,t1176,3100532116,9,0.75,True,8.05128456430808,junk,4.557994644514501,-3.493289919793579,True
lcp,confirmed,t1249,1287468219,43,0.5,False,6.920289157255193,junk,3.4279102790142546,-3.4923788782409386,True
bland,reassigned,t1299,999644642,10,1.0,False,5.145882817876455,lcp,1.65967968012139,-3.486203137755065,True
lcp,confirmed,t1249,2804189036,14,0.75,False,6.512243425295184,bland,3.026546451887598,-3.4856969734075856,True
lcp,confirmed,t1250,3509537098,70,0.75,False,8.34506375746593,junk,4.867526083869894,-3.4775376735960357,True
olivine,reassigned,t1322,2377078318,6,1.0,True,9.479724833485909,junk,6.029192746632891,-3.450532086853018,True
lcp,confirmed,t1249,617582690,13,1.0,False,8.05626164785942,junk,4.606367417901762,-3.4498942299576587,True
olivine,reassigned,t1323,3707476791,17,1.0,False,11.23967246372857,junk,7.790706469848692,-3.448965993879879,True
lcp,confirmed,t1249,2634303367,2,1.0,True,7.696853872027399,bland,4.274690124359365,-3.4221637476680336,True
lcp,confirmed,t1249,3651350016,95,0.5,False,6.525880144659013,bland,3.1626133304689374,-3.3632668141900752,True
lcp,confirmed,t1250,2976314582,21,0.75,False,7.561852568817156,junk,4.216840600354492,-3.3450119684626642,True
lcp,confirmed,t1249,2127994235,26,0.5,False,6.807430122511924,bland,3.4691292870438475,-3.3383008354680768,True
plagioclase,hand,t0431,37,559,1.0,False,7.596609498900598,junk,4.338850057673655,-3.257759441226943,True
lcp,confirmed,t1249,290933366,11,0.5,False,6.884957695590132,junk,3.6301939782231942,-3.254763717366938,True
junk,tag,t1250,1822731690,4,1.0,True,8.45142463770083,plagioclase,5.246871701774059,-3.2045529359267713,True
lcp,confirmed,t1249,175909448,37,1.0,False,8.647978299322922,junk,5.460060016126159,-3.1879182831967627,True
lcp,confirmed,t1250,3469652521,11,0.5,False,6.544018676116903,bland,3.3843142081321274,-3.159704467984776,True
lcp,confirmed,t1250,1093827592,82,0.75,False,7.469652643504959,junk,4.310699855375349,-3.15895278812961,True
lcp,confirmed,t1321,3702360219,26,0.75,False,6.402034258810008,bland,3.2447923611901843,-3.1572418976198233,True
hcp,confirmed,t1033,2562867322,77684,1.0,False,6.937399516344717,bland,3.820712480183963,-3.116687036160754,True
olivine,reassigned,t1323,2530811986,31,0.75,False,13.231177399991367,junk,10.114525854227942,-3.1166515457634247,True
lcp,confirmed,t1250,1770042878,476,0.75,False,6.850532023437441,junk,3.7371182257593127,-3.113413797678128,True
junk,tag,t1373,1103764034,199,1.0,False,5.89966060356682,lcp,2.7936529222529223,-3.106007681313898,True
junk,tag,t1393,2011849132,9,1.0,True,8.276210558943728,lcp,5.18044992139156,-3.095760637552168,True
lcp,confirmed,t1249,986972592,131,1.0,False,7.335106748783163,bland,4.257818564860492,-3.077288183922671,True
lcp,confirmed,t1249,1103046,42,0.5,False,6.755374649591366,bland,3.6957295950338684,-3.059645054557498,True
lcp,confirmed,t1033,3682552307,152509,1.0,False,6.928852952367291,junk,3.8881289236315135,-3.0407240287357773,True
lcp,confirmed,t1249,1570112091,19,0.75,False,6.902117966589877,bland,3.867765354853093,-3.034352611736784,True
lcp,confirmed,t1249,117521835,70,0.75,False,9.677796717529128,junk,6.701141101635084,-2.9766556158940443,True
lcp,confirmed,t1249,1979417767,15,0.75,False,7.376564932981263,junk,4.413657410695509,-2.9629075222857537,True
lcp,confirmed,t1249,66426881,46,0.75,False,6.9275470641648775,junk,3.970551098729351,-2.9569959654355267,True
bland,reassigned,t1394,586781266,7084,1.0,False,5.041706494876356,lcp,2.0981417966856912,-2.943564698190665,True
lcp,confirmed,t1249,3590996815,992,0.5,False,6.781144315019577,junk,3.8618730207978134,-2.9192712942217636,True
lcp,confirmed,t1249,1676401525,157,1.0,False,7.721995227767244,junk,4.811772797096013,-2.910222430671231,True
lcp,confirmed,t1249,3155459083,51,0.75,False,6.427401587961617,bland,3.525556155422839,-2.901845432538778,True
lcp,confirmed,t1249,69277584,182,1.0,False,6.030458136281844,bland,3.1324364118899397,-2.898021724391904,True
lcp,confirmed,t1249,1341432178,18,0.75,False,7.07057588243013,bland,4.175947739337923,-2.8946281430922065,True
lcp,confirmed,t1249,3156562207,2066,1.0,False,6.714830584747676,junk,3.834060897583679,-2.880769687163997,True
lcp,confirmed,t1090,446642363,623,0.75,False,7.396162851480856,junk,4.528384213053906,-2.86777863842695,True
lcp,confirmed,t1250,576634677,18,0.5,False,6.308418636616175,bland,3.449335553466568,-2.8590830831496072,True
junk,tag,t1250,394834458,12,1.0,False,8.322795232750005,lcp,5.487330817158162,-2.8354644155918436,True
lcp,confirmed,t1249,4274418475,64,0.75,False,6.076207948417539,bland,3.2521629730100767,-2.8240449754074626,True
lcp,confirmed,t1250,49105598,32,1.0,False,7.932009445669149,junk,5.185680926070856,-2.7463285195982925,True
lcp,confirmed,t1250,3601424566,19,0.75,False,6.767187117166611,bland,4.059608628263625,-2.7075784889029864,True
lcp,confirmed,t1250,218616417,31,1.0,False,7.280950430148169,junk,4.5898020445870955,-2.691148385561074,True
lcp,confirmed,t1250,766741665,232,0.75,False,7.26932179052632,junk,4.581106320746384,-2.6882154697799354,True
olivine,confirmed,t1374,1487657590,164,1.0,False,6.171256264799032,bland,3.514674609318269,-2.656581655480763,True
lcp,confirmed,t1322,3769056426,13,0.75,False,6.983517228002809,bland,4.349739855654434,-2.6337773723483746,True
bland,reassigned,t1447,793060896,278441,1.0,False,4.219393461019702,lcp,1.6526856428419505,-2.5667078181777514,True
lcp,confirmed,t1249,3929463622,132,1.0,False,5.7763616136212015,bland,3.243900930834512,-2.5324606827866893,True
lcp,confirmed,t1249,3700771661,136,0.75,False,6.522666375537476,bland,4.0209037414299775,-2.5017626341074983,True
junk,tag,t1250,2582991932,12,1.0,False,7.159402061700011,lcp,4.661206453619869,-2.4981956080801426,True
lcp,confirmed,t1322,2151992185,50,1.0,False,6.465838722392908,bland,4.003138438158754,-2.4627002842341543,True
olivine,confirmed,t1374,2358206491,96,0.5,False,5.91483487822904,bland,3.45523087823077,-2.4596039999982695,True
lcp,confirmed,t1249,2948233144,54,1.0,False,5.904963774772988,bland,3.4603856475921893,-2.444578127180799,True
lcp,confirmed,t1322,3592407142,10,0.5,False,6.267944842329034,bland,3.857152955677181,-2.410791886651853,True
lcp,confirmed,t1250,2117988963,31,0.75,False,7.338964509666088,junk,4.929312703776556,-2.409651805889532,True
plagioclase,hand,t0530,947,64,1.0,False,5.391424155896877,bland,3.0384431997107204,-2.352980956186157,True
olivine,hand,t0503,14,279,1.0,False,5.333299290868321,bland,2.9883391699964967,-2.344960120871824,True
bland,reassigned,t1105,3409091212,409,1.0,False,3.2533532142113253,junk,0.9242226782948291,-2.329130535916496,True
lcp,hand,t0670,111,28,1.0,False,4.371459064336034,bland,2.0452386622367382,-2.326220402099296,True
